Time_s,Gen_AC_V,Inv_AC_V,Inv_AC_A,Inv_AC_W,Bat_DC_V,MPPT_DC_A,MPPT_DC_W,Bat_SoC_Pct,Bat_Energy_Wh,Inv_DC_A,Inv_DC_W,Inv_Efficiency_Pct,Rotor_RPM,Temp_Gen_C,Temp_Box_C,Temp_ESP_C
113.0,74.8,93.8,0.07,5.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
114.0,163.4,218.0,0.12,21.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
115.0,117.4,150.5,0.09,11.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.3,29.4,53.3
116.0,110.6,143.2,0.09,10.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
117.0,185.4,242.9,0.12,25.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
118.0,94.4,121.3,0.07,7.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
119.0,198.9,262.9,0.13,29.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
120.0,113.7,146.5,0.09,10.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
121.0,145.2,188.2,0.10,16.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
122.0,121.5,155.4,0.09,12.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
123.0,126.1,163.6,0.09,13.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
124.0,147.6,191.8,0.11,17.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
125.0,114.0,145.9,0.09,11.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
126.0,138.7,180.0,0.10,15.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
127.0,115.7,148.2,0.09,11.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
128.0,90.3,115.7,0.08,7.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
129.0,187.8,246.2,0.13,27.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
130.0,77.2,94.1,0.07,5.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
131.0,137.7,175.0,0.10,14.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
132.0,148.6,192.4,0.11,17.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
133.0,83.5,106.9,0.07,6.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
134.0,188.5,247.8,0.13,27.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
135.0,78.4,96.7,0.07,5.7,0.01,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
136.0,146.7,194.1,0.11,17.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
137.0,132.4,170.5,0.10,14.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
138.0,100.4,125.2,0.08,8.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
139.0,189.0,248.8,0.13,27.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
140.0,84.9,105.2,0.07,6.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
141.0,149.6,196.4,0.10,17.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
142.0,140.6,179.6,0.10,15.7,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
143.0,95.3,122.3,0.08,8.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
144.0,201.1,264.9,0.13,30.2,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.3,53.3
145.0,79.1,93.8,0.07,5.5,0.01,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
146.0,149.3,198.3,0.10,17.6,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
147.0,155.4,200.9,0.11,18.4,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
148.0,222.4,293.4,0.08,20.0,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
149.0,332.3,442.5,0.14,51.9,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
150.0,218.5,286.8,0.08,20.5,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
151.0,142.1,182.6,0.09,13.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
152.0,185.9,243.9,0.13,26.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
153.0,85.2,108.8,0.07,6.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
154.0,158.3,210.8,0.11,19.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
155.0,142.3,182.6,0.10,15.8,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
156.0,104.8,136.0,0.08,9.3,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
157.0,257.2,341.9,0.13,38.1,0.00,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0,31.4,29.4,53.3
